DATE,IUDBEDR,IUDSNPY,IUDMNPY
05 May 2026,3.75,4.5638,5.0201
06 May 2026,3.75,4.4337,4.8932
07 May 2026,3.75,4.4186,4.8801
08 May 2026,3.75,4.4251,4.8695
11 May 2026,3.75,4.5128,4.9589
12 May 2026,3.75,4.5975,5.0527
13 May 2026,3.75,4.5657,5.0279
14 May 2026,3.75,4.5127,4.9661
15 May 2026,3.75,4.6521,5.1263
18 May 2026,3.75,4.6296,5.1026
19 May 2026,3.75,4.6151,5.0833
20 May 2026,3.75,4.4893,4.9554
21 May 2026,3.75,4.4715,4.9293
22 May 2026,3.75,4.42,4.8666
26 May 2026,3.75,4.3919,4.8428
27 May 2026,3.75,4.366,4.8259
28 May 2026,3.75,4.3317,4.7887
29 May 2026,3.75,4.3083,4.776
01 Jun 2026,3.75,4.4173,4.8696
02 Jun 2026,3.75,4.3892,4.8314
03 Jun 2026,3.75,4.4442,4.8909
04 Jun 2026,3.75,4.4298,4.8786
05 Jun 2026,3.75,4.4309,4.8773
08 Jun 2026,3.75,4.4671,4.9135
09 Jun 2026,3.75,4.4373,4.8873
10 Jun 2026,3.75,4.4537,4.9021
11 Jun 2026,3.75,4.4338,4.8804
12 Jun 2026,3.75,4.3549,4.8156
15 Jun 2026,3.75,4.3075,4.7862
16 Jun 2026,3.75,4.3161,4.7794
17 Jun 2026,3.75,4.2716,4.7394
18 Jun 2026,3.75,4.2723,4.7213
19 Jun 2026,3.75,4.2723,4.7213
22 Jun 2026,3.75,4.327,4.783
23 Jun 2026,3.75,4.2803,4.7322
24 Jun 2026,3.75,4.2278,4.6683
25 Jun 2026,3.75,4.2275,4.682
26 Jun 2026,3.75,4.2479,4.7117
29 Jun 2026,3.75,4.2424,4.6997
30 Jun 2026,3.75,4.278,4.742
01 Jul 2026,3.75,,